atom_type,protein_count,ligand_count,total_occurrence,Unnamed: 0,sybyl_type,element,hybridization,hydrogens,total_neighbors,definition,local_reference_frame
O.am_1,32020925,33844,32054769,160,O.2,O,sp2,0,1,Amide O,Anisotropic
C.am_3,31987891,17802,32005693,57,C.2,C,sp2,0,3,Carbonyl C in amide,Axial
N.am_2,28287638,20058,28307696,113,N.am,N,sp2,1,3,Secondary amide N,Anisotropic
C.3n_3,25986532,10612,25997144,27,C.3,C,sp3,1,4,sp3 C bound to N + 2 other heavy atoms,Axial
C.3c_2,25291216,50299,25341515,19,C.3,C,sp3,2,4,Secondary C (bound to C only),Anisotropic
C.3c_1,17448098,48184,17496282,18,C.3,C,sp3,3,4,Methyl group (bound to C only),Axial
C.ar6_2,12188685,146819,12335504,60,C.ar,C,sp2,1,3,Unsubstituted C in aromatic 6-ring (C-only ring),Anisotropic
O.co2_1,7166883,43409,7210292,162,O.co2,O,sp2,0,1,Carboxylate O,Anisotropic
C.3c_3,6628546,5165,6633711,20,C.3,C,sp3,1,4,Tertiary C (bound to C only),Axial
C.3n_2,5306382,20338,5326720,26,C.3,C,sp3,2,4,sp3 C bound to N + 1 other heavy atom,Anisotropic
C.co2_3,3576914,21706,3598620,70,C.co2,C,sp2,0,3,Carboxylate C,Axial
O.3oh_1,3407879,86021,3493900,155,O.3,O,sp3,1,2,Alcohol O,Axial
N.gu_1,2997482,5964,3003446,126,N.pl3,N,sp2,"[1,2]","[2,3]",Guanidine N with 1 heavy neighbor,Anisotropic
C.3r5_2,2823831,10290,2834121,40,C.3,C,sp3,2,4,sp3 C in 5-membered ring,Anisotropic
C.ar6_3,2736187,46107,2782294,61,C.ar,C,sp2,0,3,Substituted C in aromatic 6-ring (C-only ring),Axial
N.am_1,2287927,1564,2289491,112,N.am,N,sp2,2,3,Primary amide N,Anisotropic
C.ar5_2,1960557,25688,1986245,58,C.ar,C,sp2,1,3,Unsubstituted C in aromatic 5-ring,Anisotropic
C.oh_2,1730844,12023,1742867,79,C.3,C,sp3,2,4,Primary alcohol,Anisotropic
C.oh_3,1659579,13227,1672806,80,C.3,C,sp3,1,4,Secondary alcohol,Axial
N.4_1,1599245,8036,1607281,105,N.4,N,sp3,3,4,"Primary amine, charged",Axial
C.ar6x_3,1498695,50345,1549040,68,C.ar,C,sp2,0,3,C in aromatic 6-ring with heteroatom substituent,Axial
N.gu_2,1504810,15186,1519996,127,N.pl3,N,sp2,"[0,1]","[2,3]",Guanidine N with 2 heavy neighbors,Anisotropic
C.3r5x_3,1441925,71427,1513352,44,C.3,C,sp3,1,4,sp3 C in 5-membered ring with hetero-atom neighbor,Axial
C.guh_3,1497577,404,1497981,76,C.cat,C,sp2,0,3,Guanidinium C,Axial
N.am_3,1455918,11136,1467054,114,N.am,N,sp2,0,3,Tertiary amide N,Axial
C.3r5x_2,1412013,4929,1416942,43,C.3,C,sp3,2,4,sp3 C in 5-membered ring with hetero-atom neighbor,Anisotropic
C.ar5_3,1217590,28926,1246516,59,C.ar,C,sp2,0,3,Substituted C in aromatic 5-ring,Axial
N.ar5p_2,1194795,5319,1200114,119,N.ar,N,sp2,1,3,"Unsubstituted, charged N in 5-membered aromatic ring",Anisotropic
C.3s_2,1145760,4355,1150115,53,C.3,C,sp3,2,4,sp3 C coupled to S,Anisotropic
O.ph_1,1067428,10940,1078368,166,O.3,O,sp2,1,2,Phenol O,Anisotropic
N.ar5_2,754376,14668,769044,115,N.ar,N,sp2,0,2,"Unsubstituted, uncharged N in 5-membered aromatic ring",Anisotropic
S.3_2,699909,2459,702368,171,S.3,S,sp3,0,2,sp3 S coupled to 2 C's,Anisotropic
C.3s_1,697997,1019,699016,52,C.3,C,sp3,3,4,sp3 C coupled to S,Axial
