atom_type,protein_count,ligand_count,total_occurrence
O.am_1,32020925,33844,32054769
C.am_3,31987891,17802,32005693
N.am_2,28287638,20058,28307696
C.3n_3,25986532,10612,25997144
C.3c_2,25291216,50299,25341515
C.3c_1,17448098,48184,17496282
C.ar6_2,12188685,146819,12335504
O.co2_1,7166883,43409,7210292
C.3c_3,6628546,5165,6633711
C.3n_2,5306382,20338,5326720
C.co2_3,3576914,21706,3598620
O.3oh_1,3407879,86021,3493900
N.gu_1,2997482,5964,3003446
C.3r5_2,2823831,10290,2834121
C.ar6_3,2736187,46107,2782294
N.am_1,2287927,1564,2289491
C.ar5_2,1960557,25688,1986245
C.oh_2,1730844,12023,1742867
C.oh_3,1659579,13227,1672806
N.4_1,1599245,8036,1607281
C.ar6x_3,1498695,50345,1549040
N.gu_2,1504810,15186,1519996
C.3r5x_3,1441925,71427,1513352
C.guh_3,1497577,404,1497981
N.am_3,1455918,11136,1467054
C.3r5x_2,1412013,4929,1416942
C.ar5_3,1217590,28926,1246516
N.ar5p_2,1194795,5319,1200114
C.3s_2,1145760,4355,1150115
O.ph_1,1067428,10940,1078368
N.ar5_2,754376,14668,769044
S.3_2,699909,2459,702368
C.3s_1,697997,1019,699016
S.csh_1,380366,458,380824
C.3n_1,123177,7376,130553
O.h2o_0,125811,1,125812
C.3_0,124447,4,124451
O.2p_1,35170,86326,121496
C.ar6o_3,22175,68631,90806
C.1_2,64812,2972,67784
S.s_2,64765,34,64799
C.2r3x_3,58503,0,58503
C.3r6x_3,7547,45211,52758
O.3p_2,16205,34222,50427
O.3n_2,49920,256,50176
C.2n_2,49011,621,49632
P.o4_4,13515,29159,42674
O.3_2,41441,375,41816
N.ar6_2,11261,29003,40264
C.2r6x_3,25720,11506,37226
C.2c_1,33804,2468,36272
C.ar6m_3,8599,27585,36184
C.et_2,11260,24423,35683
O.3ret_2,9398,26017,35415
C.ar6o_2,9101,24878,33979
O.ke_1,17975,15377,33352
C.3r6_2,3234,22026,25260
N.4_3,20857,3346,24203
C.3r3x_3,23450,357,23807
C.et_1,17196,6376,23572
C.2c_2,12970,10020,22990
C.es_3,18170,1895,20065
O.es_1,15274,2636,17910
N.r6_3,12716,4994,17710
C.2r6_2,13214,4410,17624
N.3c_2,17420,195,17615
N.ar5p_3,4844,12732,17576
N.mih_1,5079,12055,17134
C.3r6x_2,2147,14420,16567
C.ar6m_2,3588,12823,16411
F_1,989,12341,13330
N.3_0,12865,1,12866
N.3c_1,11780,95,11875
O.3es_2,8191,3679,11870
O.3eta_2,775,9796,10571
N.mih_2,5523,4287,9810
C.1_1,9549,172,9721
N.im_2,1879,6489,8368
Mg,8205,0,8205
Cl_1,532,7152,7684
C.3r6_3,622,6952,7574
N.gu_3,6113,1137,7250
O.2s.o2_1,694,6540,7234
C.2_1,7073,19,7092
O.ar_2,5319,1649,6968
O.2s_1,3999,2814,6813
N.2c_2,5892,761,6653
C.ar6p_3,832,5702,6534
C.3_1,5855,496,6351
P.o3_4,820,5507,6327
C.2r6_3,1213,4997,6210
N.ar5n_2,325,5719,6044
C.ar6p_2,1992,3578,5570
C.o_2,4521,736,5257
O.3et_2,1396,3852,5248
C.2r5x_3,1051,4134,5185
C.2_2,5089,90,5179
Fe,4362,503,4865
N.oh_3,4586,74,4660
N.ar6p_3,2930,1511,4441
Zn,4374,0,4374
N.oh_2,3426,876,4302
N.r6_2,2231,2031,4262
N.4_2,1020,3228,4248
C.3r3x_4,4065,106,4171
O.3_0,3915,0,3915
C.3r5_3,412,3380,3792
O.2n_1,545,3202,3747
C.3r6_4,294,3354,3648
S.O2,347,3270,3617
C.o_3,546,3001,3547
C.o_1,3491,0,3491
S.ar_2,418,3014,3432
N.r3_2,3255,6,3261
C.2c_3,596,2646,3242
Mn,3039,0,3039
N.ar5znp_3,2965,0,2965
C.2r6x_2,1533,1304,2837
C.et_3,1159,1601,2760
C.3r6x_4,236,2401,2637
N.ar5np_3,110,2194,2304
C.3r3_2,463,1733,2196
N.oh_1,2129,4,2133
C.3r3x_2,2051,75,2126
Ca,2097,0,2097
C.2r5x_2,1942,36,1978
Br_1,263,1684,1947
N.1_1,338,1532,1870
C.3hal_4,108,1753,1861
S.3_0,1796,0,1796
N.r5_3,1374,394,1768
N.aa_2,155,1595,1750
C.2n_3,1102,537,1639
C.3p_2,129,1509,1638
N.o2_3,130,1499,1629
C.ar3_3,1613,0,1613
N.r5_2,1188,332,1520
N.2c_1,1471,48,1519
N.ar5fep_3,1496,0,1496
N.3p_2,195,1162,1357
C.3r5x_4,136,1215,1351
S.o0_3,760,584,1344
O.3anh_2,1334,6,1340
N.ar5np_2,92,1244,1336
O.al_1,554,677,1231
S.o4n0_4,938,285,1223
C.ar4_3,1178,32,1210
C.2r4x_3,1104,46,1150
S.r_2,49,1026,1075
N.aa_1,107,867,974
C.oh_4,152,811,963
N.ar5mnp_3,958,0,958
S.2c_1,640,295,935
C.3c_4,144,786,930
N.mih_3,559,330,889
C.2r5_3,98,789,887
N.im_3,36,837,873
C.et_4,346,483,829
N.aa_3,168,628,796
C.3r3_3,127,620,747
O.2_1,695,5,700
S.o3n0_4,82,613,695
N.3_1,20,636,656
C.2r5_2,294,298,592
C.3r4_2,81,494,575
C.3r4x_2,107,447,554
N.ar6p_2,227,308,535
N.3_2,20,471,491
C.3r5_4,65,425,490
I_1,3,484,487
N.ar6n_2,29,456,485
Na,472,0,472
S.2p_1,31,424,455
C.am_2,269,180,449
C.3_2,22,406,428
N.r3_3,419,3,422
C.3n_4,98,315,413
C.3r4x_3,227,185,412
N.4_4,102,308,410
N.pl3_2,37,328,365
N.2n_2,50,311,361
O.3s_2,147,189,336
C.3r4_3,66,262,328
Co.oh,308,0,308
C.3hal_3,12,294,306
N.ar5co.ohp_3,306,0,306
K,284,0,284
N.am_4,283,0,283
C.2r3x_2,271,0,271
N.ar6np_3,8,257,265
C.co2_2,262,0,262
N.ar5nip_3,241,0,241
N.3n_2,147,89,236
C.2_3,27,203,230
Ni,227,0,227
P.o2_4,12,182,194
C.3s_3,15,170,185
N.3_3,20,152,172
C.3hal_2,9,163,172
N.pl3_3,29,135,164
S.2s_1,160,0,160
C.3p_1,44,112,156
N.ar5mgp_3,149,0,149
N.3n_1,97,52,149
N.3n_3,133,16,149
C.ar3_2,142,0,142
C.3p_3,21,113,134
C.3r4x_4,73,48,121
Cd,120,0,120
N.2n_1,37,81,118
C.2r3_2,106,6,112
C.3r3_4,6,96,102
S.o1_3,97,4,101
N.r4_2,98,2,100
N.r4_3,61,37,98
S.O,12,85,97
O.2s.o_1,12,85,97
N.ar5s_2,9,72,81
C.3_4,1,77,78
N.3c_3,13,62,75
C.2r4x_2,74,0,74
C.oh_1,70,0,70
C.3r4_4,15,54,69
N.ar5cdp_3,67,0,67
N.2_2,11,52,63
S.o1n1_4,12,51,63
C.3p_4,0,58,58
Cu,49,0,49
O.co2_0,47,0,47
P.o3_3,41,4,45
P.o1_4,13,29,42
C.3s_4,0,42,42
C.2r3_3,35,2,37
C.2r4_2,37,0,37
C.2s_3,4,31,35
C.3_3,4,26,30
Yb,25,0,25
N.3p_1,0,24,24
N.ar5cup_3,23,0,23
N.ar5s.o2p_3,0,17,17
O.2o_1,17,0,17
N.oh_4,13,3,16
S.o1n2_4,0,15,15
S.o3n1_4,0,14,14
P.o2_3,12,2,14
Ba,14,0,14
N.2c_3,3,10,13
N.2_1,0,11,11
N.sa3_2,0,10,10
C.2r4_3,8,0,8
C.es_2,2,6,8
N.o2_2,7,0,7
C.2s_2,2,5,7
S.o2_3,2,5,7
Li,6,0,6
Hg,6,0,6
N.3n_4,0,6,6
V,6,0,6
S.o2n1_4,0,5,5
N.ar6np_2,0,5,5
Eu,5,0,5
S.o0n0_4,4,0,4
Sr,4,0,4
Tb,4,0,4
N.ar5nap_3,4,0,4
F_0,4,0,4
Al,4,0,4
Gd,4,0,4
P.o0_4,0,4,4
C.ar4_2,4,0,4
Sm,4,0,4
N.sa2_2,0,3,3
S.osh_1,3,0,3
Pr,3,0,3
La,3,0,3
N.sa2_1,0,2,2
N.r3_4,2,0,2
Cs,2,0,2
S.o3_3,2,0,2
N.ar5hgp_3,2,0,2
N.ar5cap_3,2,0,2
N.ar3p_2,2,0,2
N.ar5vp_3,2,0,2
N.ar5sp_2,0,2,2
N.ar6s_2,0,2,2
S.o0n2_4,2,0,2
Tl,2,0,2
Rb,2,0,2
Ce,2,0,2
Lu,2,0,2
Y,2,0,2
N.ar5cr.ohp_3,1,0,1
N.sa3_3,0,1,1
N.ar5prp_3,1,0,1
Cr.oh,1,0,1
Nd,1,0,1
P.o1_3,1,0,1
P.o0_3,0,1,1
C.3hal_1,1,0,1
Pu,1,0,1
S.2n_1,1,0,1
Pt,1,0,1
